id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
66770,Cerveza Shandy Steinburg sabor limón,cerveza-shandy-sabor-limon-steinburg-pack-12,19,Bodega,1.09,4.32,l,21.000,,True,https://tienda.mercadona.es/product/66770/cerveza-shandy-sabor-limon-steinburg-pack-12
66771,Cerveza Shandy Steinburg sabor limón,cerveza-shandy-sabor-limon-steinburg-lata,19,Bodega,1.09,0.36,l,21.000,Lata,True,https://tienda.mercadona.es/product/66771/cerveza-shandy-sabor-limon-steinburg-lata
5396,Cerveza con aguardiente de agave Desperados,cerveza-con-sabor-tequila-desperados-pack-6,19,Bodega,3.96,5.94,l,21.000,,True,https://tienda.mercadona.es/product/5396/cerveza-con-sabor-tequila-desperados-pack-6
5397,Cerveza con aguardiente de agave Desperados,cerveza-con-sabor-tequila-desperados-botellin,19,Bodega,4.12,1.03,l,21.000,Botellín,True,https://tienda.mercadona.es/product/5397/cerveza-con-sabor-tequila-desperados-botellin
86313,"Cerveza Radler Falke 0,0% sin alcohol",cerveza-radler-falke-00-sin-alcohol-pack-8,19,Bodega,1.36,3.6,l,21.000,Pack-8,True,https://tienda.mercadona.es/product/86313/cerveza-radler-falke-00-sin-alcohol-pack-8
86314,"Cerveza Radler Falke 0,0% sin alcohol",cerveza-radler-falke-00-sin-alcohol-lata,19,Bodega,1.36,0.45,l,21.000,Lata,True,https://tienda.mercadona.es/product/86314/cerveza-radler-falke-00-sin-alcohol-lata
13955,Bebida cider con gas Spieler sabor a manzana,bebida-cider-con-gas-spieler-sabor-manzana,19,Bodega,3.16,4.74,l,21.000,,True,https://tienda.mercadona.es/product/13955/bebida-cider-con-gas-spieler-sabor-manzana
22467,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-pack-12,19,Bodega,1.32,3.96,l,21.000,Pack-12,True,https://tienda.mercadona.es/product/22467/cerveza-clasica-steinburg-pack-12
22489,Cerveza Clásica Steinburg,cerveza-clasica-steinburg-botellin,19,Bodega,1.32,0.33,l,21.000,Botellín,True,https://tienda.mercadona.es/product/22489/cerveza-clasica-steinburg-botellin
27150,Cerveza reserva 1925 Alhambra,cerveza-reserva-1925-alhambra-pack-6,19,Bodega,4.03,7.98,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/27150/cerveza-reserva-1925-alhambra-pack-6
66518,Cerveza reserva 1925 Alhambra,cerveza-reserva-1925-alhambra-botellin,19,Bodega,4.52,1.49,l,21.000,Botellín,True,https://tienda.mercadona.es/product/66518/cerveza-reserva-1925-alhambra-botellin
27114,Cerveza Heineken,cerveza-heineken-pack-6,19,Bodega,2.48,3.72,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/27114/cerveza-heineken-pack-6
